,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,param_clf__criterion,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,8000,"(1, 2)",False,l1,giny,845.8436175982157,4.878207934784917,,,6,,6,,6,,6
1,2000,"(1, 1)",False,l2,entropy,850.7621332009634,3.93927222265856,-1.6914843038955125,0.08446056335196972,4,0.6282051282051282,5,0.5000357774517649,5,0.8698300242203151,4
2,9000,"(1, 1)",False,l1,giny,811.0011022885641,2.1682663277034235,,,7,,7,,7,,7
3,9000,"(1, 1)",False,l1,entropy,880.4786868095398,9.337633488236564,-1.711281711277268,0.12139248912348354,5,0.6315987933634992,3,0.501721474265936,3,0.8769621491483804,1
4,3000,"(2, 2)",True,l1,giny,838.8260441621145,8.34292514081891,,,8,,8,,8,,8
5,2000,"(1, 1)",True,l2,giny,811.2025636831919,5.264291798135389,,,9,,9,,9,,9
6,5000,"(1, 1)",True,l2,entropy,855.5895608266195,6.132000006635685,-1.6671348832529123,0.03760865215397144,2,0.6315987933634992,3,0.5006898020430341,4,0.862488504314519,5
7,4000,"(2, 2)",True,l2,giny,844.2123114267985,7.97594987428192,,,10,,10,,10,,10
8,4000,"(1, 1)",True,l1,entropy,861.4209686120352,7.764853995833297,-1.6718020783588414,0.1108350225186884,3,0.6361236802413273,1,0.5045378193126299,1,0.8706155944794735,3
9,1000,"(1, 2)",True,l2,entropy,782.5129328568777,66.02556584855344,-1.6646400516381046,0.07794104861641234,1,0.6353695324283559,2,0.5023978534489094,2,0.8738522237831647,2
