,param_tfidfvectorizer__max_features,param_tfidfvectorizer__ngram_range,param_tfidfvectorizer__use_idf,param_tfidfvectorizer__norm,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,3000,"(2, 2)",True,l1,997.1310052076975,5.628673867301004,-2.108364103688624,0.0011067336018793646,3,0.4136500754147813,5,0.3666630328896023,5,0.8492688753255132,5
1,,"(1, 2)",False,l1,1129.2504568894703,13.223253113111493,-2.1860122071144197,0.0022218133849276327,10,0.2277526395173454,10,0.2453216254824909,10,0.8367636379351625,10
2,9000,"(1, 1)",True,l1,971.991763750712,11.29519114559211,-2.1400237209551203,0.001435605724913683,6,0.42458521870286575,3,0.37736178600775355,3,0.8508226845377083,4
3,3000,"(1, 2)",False,l1,1009.8172334035238,6.6735505161686195,-2.1557906982372206,0.0015351086856655208,8,0.333710407239819,9,0.32311489192498516,9,0.8373039160807964,9
4,5000,"(1, 1)",True,l1,1007.2450702985128,24.14071037965937,-2.1333735917146135,0.0014564618586049149,4,0.4177978883861237,4,0.3759753668265004,4,0.8488025402193801,6
5,6000,"(1, 2)",True,l1,1136.784267425537,39.23678545772325,-2.146798438912459,0.0022457482548489116,7,0.39328808446455504,6,0.35763371482814227,7,0.8523338723624473,2
6,8000,"(1, 1)",False,l1,1084.5540449619293,5.090880137042078,-2.155971275461131,0.0025749486063635363,9,0.3525641025641026,8,0.33381007105136407,8,0.8382300762284665,8
7,1000,"(2, 2)",True,l2,1059.400634765625,10.737121671540464,-1.4447942378108902,0.057870616355223094,2,0.4950980392156863,2,0.4138950617907151,2,0.8466980619563512,7
8,5000,"(1, 1)",True,l2,1039.434027115504,18.850769095816922,-1.3913550665431795,0.060022908016788765,1,0.5395927601809954,1,0.4721419145180807,1,0.8575167741845394,1
9,6000,"(2, 2)",True,l1,788.2394455273947,147.87857733647715,-2.1376893703617372,0.0020273284086715854,5,0.3891402714932127,7,0.3606762279597602,6,0.8519324035582958,3
