,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,param_clf__n_neighbors,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,"(1, 2)",True,l2,21,858.1595921516418,3.5699524269170815,-2.5476316050179224,0.21060560873402914,6,0.5075414781297134,4,0.36054972862421125,4,0.8294043870453884,1
1,"(2, 2)",False,l1,39,844.9409964879354,3.430422633993129,-2.100617654670724,0.06385338231231005,5,0.4732277526395173,9,0.262191851875674,9,0.7746515897503526,8
2,"(1, 2)",True,l2,43,858.3148941198984,8.914672763290461,-2.00284847149956,0.16765390267848115,4,0.49170437405731526,8,0.29559088990766647,8,0.816809703326333,3
3,"(1, 1)",True,l1,47,841.4483058452606,11.81089640290178,-1.8375245643868776,0.09081375098188418,2,0.5007541478129713,5,0.3043707333237487,6,0.8105747879404818,4
4,"(2, 2)",True,l1,3,853.4603126049042,5.41208706882572,-8.271325421741968,0.0809856980784217,10,0.5256410256410257,2,0.42045044307684876,2,0.7667447331406306,10
5,"(2, 2)",True,l2,23,855.9227611223856,9.334359460213667,-2.55034052147064,0.12824362821377383,7,0.4939668174962293,7,0.3066284750063967,5,0.7915478477650332,7
6,"(1, 2)",True,l2,15,879.0974814891815,13.621140579619974,-3.035222002518679,0.10106407352512246,8,0.5196078431372549,3,0.39559302153476855,3,0.8234543902102862,2
7,"(2, 2)",False,l1,53,855.8817125956217,9.259894173078152,-1.940506488449575,0.04715959712662125,3,0.4717194570135746,10,0.24937352866331244,10,0.7687937797679635,9
8,"(1, 2)",False,l1,5,874.4571780363718,7.817772032990192,-5.730549356377044,0.28056153852427723,9,0.5535444947209653,1,0.4561731934506816,1,0.8006058713115638,6
9,"(1, 1)",True,l1,57,677.0034817059835,114.817929239138,-1.7958027551264253,0.08802218761461884,1,0.4973604826546003,6,0.30335394880901606,7,0.8063682764858559,5
