,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,"(1, 1)",False,l1,878.0801001389822,7.673718785237615,-2.181845160174713,8.011760254715145e-05,9,0.5037707390648567,1,0.33779514708870245,5,0.7837767490828996,8
1,"(1, 2)",True,l1,894.1351204713186,12.557155806824507,-2.170366395935029,0.0002997568525048155,8,0.4841628959276018,6,0.3405638639254713,4,0.8183701808135493,2
2,"(1, 1)",True,l1,855.3221960862478,14.203152277627705,-2.1700446203452777,0.000434013969075343,7,0.4924585218702866,4,0.3498604524179043,2,0.8211952849686984,1
3,"(2, 2)",False,l2,866.1173391342163,6.5141852296286835,-1.961591504334357,0.002667302336024484,4,0.4766214177978884,7,0.31029496326455325,10,0.7981242486569474,6
4,"(1, 2)",False,l1,871.5973295370737,7.445239978530593,-2.1822078705856467,0.00010635487492813625,10,0.49660633484162897,2,0.32875487951444166,6,0.7749928076354089,10
5,"(1, 1)",True,l2,838.1880013942719,10.778160426796944,-1.9367670886623103,0.00117684423069403,2,0.4962292609351433,3,0.35399594635135195,1,0.8170234706997624,3
6,"(2, 2)",True,l1,866.2827240626017,4.560122417384619,-2.1631754401868117,0.0015377472465493533,5,0.444947209653092,10,0.3257644521719529,7,0.8025874212320131,5
7,"(2, 2)",False,l1,862.6404790878296,5.83690130000727,-2.169778940099888,0.00021985439177179048,6,0.4754901960784313,8,0.31873607731925885,8,0.7767450348687026,9
8,"(1, 2)",True,l2,872.7000560760498,5.901096629225363,-1.9290465124141234,0.00205007257775316,1,0.48793363499245856,5,0.3462470141153731,3,0.811419982800134,4
9,"(2, 2)",True,l2,698.3382609685262,110.14513493365448,-1.952468006090773,0.0020282882445507937,3,0.4588989441930618,9,0.3174866460230347,9,0.7907077566512662,7
