,param_columntransformer__tfidf_evidence__max_features,param_columntransformer__tfidf_evidence__ngram_range,param_columntransformer__tfidf_evidence__use_idf,param_columntransformer__tfidf_evidence__norm,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,3000,"(2, 2)",True,l1,855.0093557834625,4.248353721975229,-1.2711913885675343,0.01862596383410195,1,0.5486425339366516,3,0.2872295952593395,3,0.8403460823724193,2
1,,"(1, 2)",False,l1,870.9985824426016,6.925948458827626,-1.3089120843420188,0.01906027303789625,8,0.5403469079939668,10,0.27067496464470525,10,0.8338975120167649,8
2,9000,"(1, 1)",True,l1,832.9654376506805,6.444403405656232,-1.2960324664127445,0.019390952749474298,7,0.5407239819004525,9,0.27118895348452976,8,0.8362516493467446,7
3,3000,"(1, 2)",False,l1,862.5490083694458,9.225926614091467,-1.2916596841488963,0.01889723778952529,5,0.5418552036199095,7,0.27335845298401384,7,0.8367632793599062,5
4,5000,"(1, 1)",True,l1,826.0797483921051,7.797303431247599,-1.2895741002100862,0.01907370428796256,3,0.5433634992458521,6,0.2748642324529529,5,0.8364589198245375,6
5,6000,"(1, 2)",True,l1,876.7469284534454,15.788747565558177,-1.2906903341144471,0.01882004752390948,4,0.5437405731523379,5,0.2747540689407198,6,0.8368186528820232,4
6,8000,"(1, 1)",False,l1,838.3008736769358,5.415372722840919,-1.3096551466060313,0.019985884228758063,9,0.5411010558069381,8,0.2709541617577584,9,0.8333701518989218,9
7,1000,"(2, 2)",True,l2,871.1099412441254,8.25061344834292,-1.2917674821992347,0.018288230948276942,6,0.5840874811463047,1,0.4058833955780246,1,0.8546869885914571,1
8,5000,"(1, 1)",True,l2,843.050860563914,7.978618771999394,-1.4627395739967364,0.05309503588633311,10,0.5773001508295627,2,0.3498683654440596,2,0.8321802678482862,10
9,6000,"(2, 2)",True,l1,692.9365328947703,118.17206930774118,-1.2831960251916064,0.018732502017524286,2,0.5463800904977375,4,0.2769951603081055,4,0.8385254385156656,3
