,param_columntransformer__tfidf_evidence__max_features,param_columntransformer__tfidf_evidence__use_idf,param_columntransformer__tfidf_evidence__ngram_range,param_columntransformer__tfidf_evidence__norm,param_svc__kernel,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,1000,False,"(2, 2)",l2,rbf,921.3674003283182,6.774758024338991,-1.0350046593014972,0.012670111110017224,3,0.6315987933634992,3,0.49536219301127177,4,0.8872682018279224,4
1,5000,True,"(1, 1)",l1,sigmoid,1075.5724408626556,11.309454803449961,-1.2252613819826539,0.010128849849265403,9,0.5678733031674208,8,0.4347907347213156,9,0.8339746186932732,9
2,9000,False,"(2, 2)",l2,rbf,1085.5587511062622,1.14618266576551,-1.029789316345494,0.009968147828868108,1,0.6349924585218703,1,0.5009901754931736,3,0.8893702493551882,2
3,4000,False,"(2, 2)",l2,sigmoid,955.9227116107941,13.028306233455417,-1.0852368539456794,0.014936867645529114,7,0.6052036199095023,7,0.46681725221113446,7,0.8731753205243177,7
4,9000,True,"(1, 2)",l2,linear,1251.1427946090698,11.898674152277355,-1.0551325716949744,0.005250276114732584,5,0.6259426847662142,5,0.5354137414596133,1,0.8847469495232239,5
5,2000,True,"(2, 2)",l2,rbf,989.8528481324514,13.765539002446102,-1.034686958765157,0.010845236993635798,2,0.6327300150829562,2,0.49527718408147176,5,0.8907116912009457,1
6,,True,"(1, 2)",l1,sigmoid,2210.345274448395,80.38063939496331,-1.2262896219184645,0.010171447718031393,10,0.5667420814479638,10,0.43418976968383055,10,0.8315666874748762,10
7,2000,True,"(1, 1)",l1,poly,1081.3936839898427,53.3212282560452,-1.2141276878709177,0.010360855183966735,8,0.5674962292609351,9,0.4590246477269533,8,0.8368499396377581,8
8,7000,True,"(2, 2)",l2,sigmoid,1138.4265704949696,37.67491256749386,-1.0741602435050286,0.011141407528029796,6,0.6082202111613876,6,0.467998680380592,6,0.8762665218603743,6
9,,True,"(1, 2)",l2,rbf,2513.720478375753,155.2183827894278,-1.04467322216919,0.007974944139494088,4,0.6315987933634992,3,0.5026753453641736,2,0.8880482629625197,3
